Country,Year,Tea_Type,Trade_Flow,Trade USD,Weight tones
Botswana,2021,Green Tea,Export,6740.19,0.21
Botswana,2021,Green Tea,Import,1704697.06,475.71
Botswana,2022,Black Tea,Export,47823.77,24.1
Botswana,2022,Black Tea,Import,6740480.75,1595.36
Botswana,2022,Green Tea,Export,1129.61,0.16
Botswana,2022,Green Tea,Import,1452773.44,366.76
Brazil,2019,Black Tea,Export,44897,19.27
Brazil,2019,Black Tea,Import,1629692,214.47
Brazil,2019,Green Tea,Export,1794009,286.56
Brazil,2019,Green Tea,Import,1482849,373.4
Brazil,2020,Black Tea,Export,51586,13.39
Brazil,2020,Black Tea,Import,1314823,205.23
Brazil,2020,Green Tea,Export,1376623,220.31
Brazil,2020,Green Tea,Import,1630934,441.19
Brazil,2021,Black Tea,Export,60334,5.6
Brazil,2021,Black Tea,Import,1293788,213.37
Brazil,2021,Green Tea,Export,1071476,175.32
Brazil,2021,Green Tea,Import,1759993,433.97
Brazil,2022,Black Tea,Export,85270,8.18
Brazil,2022,Black Tea,Import,1537113,188.54
Brazil,2022,Green Tea,Export,1424843,204.31
Brazil,2022,Green Tea,Import,1227790,215.36
Brunei Darussalam,2019,Black Tea,Export,2203.72,0.46
Brunei Darussalam,2019,Black Tea,Import,943575.38,141.89
Brunei Darussalam,2019,Green Tea,Export,4927.43,6.21
Brunei Darussalam,2019,Green Tea,Import,1809836.83,402.07
Brunei Darussalam,2020,Black Tea,Export,4035.01,0.25
Brunei Darussalam,2020,Black Tea,Import,1166701.66,161.32
Brunei Darussalam,2020,Green Tea,Export,9100.63,0.4
Brunei Darussalam,2020,Green Tea,Import,649021.09,79.82
Brunei Darussalam,2021,Black Tea,Export,2389.64,0.22
Brunei Darussalam,2021,Black Tea,Import,1022022.61,122.64
Brunei Darussalam,2021,Green Tea,Export,20637.41,1.09
Brunei Darussalam,2021,Green Tea,Import,794482.91,100.36
Brunei Darussalam,2022,Black Tea,Export,908.11,0.02
Brunei Darussalam,2022,Black Tea,Import,1221156.11,111.13
Brunei Darussalam,2022,Green Tea,Export,14546.32,1.93
Brunei Darussalam,2022,Green Tea,Import,738412.03,124.58
Bulgaria,2019,Black Tea,Export,125463.75,7.48
Bulgaria,2019,Black Tea,Import,1677212.92,348.73
Bulgaria,2019,Green Tea,Export,2673441.2,457.84
Bulgaria,2019,Green Tea,Import,3601845.7,731.9
Bulgaria,2020,Black Tea,Export,190335.41,26.4
Bulgaria,2020,Black Tea,Import,1785336.2,345.58
Bulgaria,2020,Green Tea,Export,455420.27,23.96
Bulgaria,2020,Green Tea,Import,1212444.53,147.69
Bulgaria,2021,Black Tea,Export,149861.38,8.84
Bulgaria,2021,Black Tea,Import,2212819.72,463.48
Bulgaria,2021,Green Tea,Export,337958.31,10.61
Bulgaria,2021,Green Tea,Import,1215747.56,280.45
Bulgaria,2022,Black Tea,Export,169915.55,28.59
Bulgaria,2022,Black Tea,Import,3038961.56,711.02
Bulgaria,2022,Green Tea,Export,333879.95,11.41
Bulgaria,2022,Green Tea,Import,1145861.09,111.08
Burkina Faso,2019,Black Tea,Export,496.82,0.05
Burkina Faso,2019,Black Tea,Import,770512.2,274.19
Burkina Faso,2019,Green Tea,Import,1024814.47,1362.06
Burkina Faso,2020,Black Tea,Export,5782.33,17.84
Burkina Faso,2020,Black Tea,Import,804217.59,880.44
Burkina Faso,2020,Green Tea,Export,281.45,0.01
Burkina Faso,2020,Green Tea,Import,628612.03,992.41
Burkina Faso,2021,Black Tea,Export,3287,15.14
Burkina Faso,2021,Black Tea,Import,1816689.13,2252.75
Burkina Faso,2021,Green Tea,Export,3381.23,1.2
Burkina Faso,2021,Green Tea,Import,1256429.53,2812.82
Burkina Faso,2022,Black Tea,Export,208.84,0.02
Burkina Faso,2022,Black Tea,Import,1264824.63,2113.02
Burkina Faso,2022,Black Tea,Re-Export,208.84,0.02
Burkina Faso,2022,Green Tea,Export,54320.55,81.19
Burkina Faso,2022,Green Tea,Import,1557326.59,4151.42
Burundi,2019,Black Tea,Export,22043163.42,10083.45
Burundi,2019,Black Tea,Import,8755.11,6.15
Burundi,2019,Black Tea,Re-Export,359.49,0.57
Burundi,2019,Green Tea,Export,1812.17,2.78
Burundi,2019,Green Tea,Import,19711.12,19.8
Burundi,2020,Black Tea,Export,20987102,8832.05
Burundi,2020,Black Tea,Import,13948.86,3.62
Burundi,2020,Green Tea,Export,638129.94,289.51
Burundi,2020,Green Tea,Import,16162.65,14.44
Burundi,2021,Black Tea,Export,24428933.81,11625.78
